기준연도,지역명,외국인관광객수
2024,서울,999642.0
2024,경기,51184.0
2024,부산,30165.0
2024,제주,21901.0
2024,인천,21387.0
2023,서울,473340.0
2023,경기,50708.0
2023,부산,12912.0
2023,제주,6823.0
2023,인천,14606.0
2022,서울,146310.0
2022,경기,39787.0
2022,부산,11566.0
2022,제주,4117.0
2022,인천,7905.0
2021,서울,72525.0
2021,경기,25132.0
2021,부산,8193.0
2021,제주,2266.0
2021,인천,8570.0
2020,서울,66507.0
2020,경기,17832.0
2020,부산,5030.0
2020,제주,3472.0
2020,인천,5279.0
2019,서울,320284.0
2019,경기,53413.0
2019,부산,19748.0
2019,제주,14114.0
2019,인천,24864.0
2018,서울,245463.0
2018,경기,46379.0
2018,부산,15282.0
2018,제주,7506.0
2018,인천,17760.0
